Simple											
Sample	lP	lR	lF	lTime	MetricExpr	P	R	F	Time		
10.00%	1	1	1	957	OR(jaccard(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#phone_numer,y.http://www.okkam.org/ontology_person2.owl#phone_numer)|1.00)|0	1	0.998	0.998998999	12		
20.00%	1	1	1	617	OR(jaccard(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#phone_numer,y.http://www.okkam.org/ontology_person2.owl#phone_numer)|1.00)|0	1	0.998	0.998998999	10		
30.00%	1	1	1	635	OR(jaccard(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#phone_numer,y.http://www.okkam.org/ontology_person2.owl#phone_numer)|1.00)|0	1	0.998	0.998998999	9		
40.00%	1	1	1	1289	OR(jaccard(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#phone_numer,y.http://www.okkam.org/ontology_person2.owl#phone_numer)|1.00)|0	1	0.998	0.998998999	4		
50.00%	0.996	1	0.997995992	1301	OR(OR(jaccard(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#phone_numer,y.http://www.okkam.org/ontology_person2.owl#phone_numer)|1.00)|0,jaccard(x.http://www.okkam.org/ontology_person1.owl#date_of_birth,y.http://www.okkam.org/ontology_person2.owl#date_of_birth)|1.00)|0	0.9900990099	1	0.9950248756	6		
60.00%	1	1	1	1663	OR(OR(jaccard(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#phone_numer,y.http://www.okkam.org/ontology_person2.owl#phone_numer)|1.00)|0,jaccard(x.http://www.okkam.org/ontology_person1.owl#date_of_birth,y.http://www.okkam.org/ontology_person2.owl#date_of_birth)|1.00)|0	0.9900990099	1	0.9950248756	5		
70.00%	1	1	1	2008	OR(jaccard(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#phone_numer,y.http://www.okkam.org/ontology_person2.owl#phone_numer)|1.00)|0	1	0.998	0.998998999	4		
80.00%	1	0.9974937343	0.9987452949	4249	OR(jaccard(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#phone_numer,y.http://www.okkam.org/ontology_person2.owl#phone_numer)|1.00)|0	1	0.998	0.998998999	4		
90.00%	1	0.9977678571	0.9988826816	3201	OR(jaccard(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#phone_numer,y.http://www.okkam.org/ontology_person2.owl#phone_numer)|1.00)|0	1	0.998	0.998998999	6		
100.00%	1	0.998	0.998998999	4505	OR(jaccard(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#phone_numer,y.http://www.okkam.org/ontology_person2.owl#phone_numer)|1.00)|0	1	0.998	0.998998999	3		
											
											
Sample	Learning P	Learning R	Learning F	KB P	KB R	KB F					
0.1	1	1	1	1	0.998	0.998998999					
0.2	1	1	1	1	0.998	0.998998999					
0.3	1	1	1	1	0.998	0.998998999					
0.4	1	1	1	1	0.998	0.998998999					
0.5	0.996	1	0.997995992	0.9900990099	1	0.9950248756					
0.6	1	1	1	0.9900990099	1	0.9950248756					
0.7	1	1	1	1	0.998	0.998998999					
0.8	1	0.9974937343	0.9987452949	1	0.998	0.998998999					
0.9	1	0.9977678571	0.9988826816	1	0.998	0.998998999					
1	1	0.998	0.998998999	1	0.998	0.998998999					
											
											
Complete											
Sample	lP	lR	lF	lTime	MetricExpr	P	R	F	Time	pruneNodeCount	pruningTime
10.00%	1	0.94	0.9690721649	405	MINUS(trigrams(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#surname,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00)|0.0	1	0.95	0.9743589744	3	1140	0
20.00%	1	0.9494949495	0.9740932642	1139	MINUS(trigrams(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#surname,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00)|0.0	1	0.95	0.9743589744	2	2263	0
30.00%	1	0.9266666667	0.9619377163	2600	MINUS(trigrams(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#surname,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00)|0.0	1	0.95	0.9743589744	3	1703	0
40.00%	1	0.945	0.971722365	3931	MINUS(trigrams(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#surname,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00)|0.0	1	0.95	0.9743589744	1	2263	1
50.00%	1	0.96	0.9795918367	6564	MINUS(trigrams(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#surname,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00)|0.0	1	0.95	0.9743589744	2	2263	1
60.00%	1	0.9565217391	0.9777777778	7724	MINUS(trigrams(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#surname,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00)|0.0	1	0.95	0.9743589744	2	2267	0
70.00%	1	0.9367816092	0.9673590504	11705	MINUS(trigrams(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#surname,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00)|0.0	1	0.95	0.9743589744	3	2267	0
80.00%	1	0.945	0.971722365	15283	MINUS(trigrams(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#surname,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00)|0.0	1	0.95	0.9743589744	2	2267	0
90.00%	1	0.9553571429	0.9771689498	18559	MINUS(trigrams(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#surname,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00)|0.0	1	0.95	0.9743589744	2	2267	0
100.00%	1	0.95	0.9743589744	22536	MINUS(trigrams(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#surname,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00)|0.0	1	0.95	0.9743589744	1	2267	0
											
											
											
Sample	Simple F	Complete F	Sample	Simple P	Simple R	Simple F	Complete P	Complete R	Complete F		
0.1	0.998998999	0.9743589744	10.00%	1	0.998	0.998998999	1	0.95	0.9743589744		
0.2	0.998998999	0.9743589744	20.00%	1	0.998	0.998998999	1	0.95	0.9743589744		
0.3	0.998998999	0.9743589744	30.00%	1	0.998	0.998998999	1	0.95	0.9743589744		
0.4	0.998998999	0.9743589744	40.00%	1	0.998	0.998998999	1	0.95	0.9743589744		
0.5	0.9950248756	0.9743589744	50.00%	0.9900990099	1	0.9950248756	1	0.95	0.9743589744		
0.6	0.9950248756	0.9743589744	60.00%	0.9900990099	1	0.9950248756	1	0.95	0.9743589744		
0.7	0.998998999	0.9743589744	70.00%	1	0.998	0.998998999	1	0.95	0.9743589744		
0.8	0.998998999	0.9743589744	80.00%	1	0.998	0.998998999	1	0.95	0.9743589744		
0.9	0.998998999	0.9743589744	90.00%	1	0.998	0.998998999	1	0.95	0.9743589744		
1	0.998998999	0.9743589744	100.00%	1	0.998	0.998998999	1	0.95	0.9743589744		
											
Complete	without prune										
Sample	Simple LT	Compete LT	CompWithoutPrune								
0.1	957	405	1604								
0.2	617	1139	739								
0.3	635	2600	1490								
0.4	1289	3931	1729								
0.5	1301	6564	2844								
0.6	1663	7724	4065								
0.7	2008	11705	7792								
0.8	4249	15283	7106								
0.9	3201	18559	8257								
1	4505	22536	9741								
											
Complete	without prune										
Sample	lP	lR	lF	lTime	MetricExpr	P	R	F	Time		
10.00%	1	0.9	0.9473684211	1604	MINUS(trigrams(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#surname,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00)|0.0	1	0.95	0.9743589744	12		
20.00%	1	0.96	0.9795918367	739	MINUS(trigrams(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#surname,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00)|0.0	1	0.95	0.9743589744	3		
30.00%	1	0.9533333333	0.976109215	1490	MINUS(trigrams(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#surname,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00)|0.0	1	0.95	0.9743589744	2		
40.00%	1	0.925	0.961038961	1729	MINUS(trigrams(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#surname,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00)|0.0	1	0.95	0.9743589744	2		
50.00%	1	0.956	0.9775051125	2844	MINUS(trigrams(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#surname,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00)|0.0	1	0.95	0.9743589744	4		
60.00%	1	0.96	0.9795918367	4065	MINUS(trigrams(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#surname,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00)|0.0	1	0.95	0.9743589744	2		
70.00%	1	0.9540229885	0.9764705882	7792	MINUS(trigrams(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#surname,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00)|0.0	1	0.95	0.9743589744	3		
80.00%	1	0.9448621554	0.9716494845	7106	MINUS(trigrams(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#surname,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00)|0.0	1	0.95	0.9743589744	2		
90.00%	1	0.9464285714	0.9724770642	8257	MINUS(trigrams(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#surname,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00)|0.0	1	0.95	0.9743589744	2		
100.00%	1	0.95	0.9743589744	9741	MINUS(trigrams(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#surname,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00)|0.0	1	0.95	0.9743589744	2		
